Artist,Track,Album,Danceability,Energy,Valence,Tempo,Track_ID
Imagine Dragons,On Top Of The World,Night Visions (Deluxe),,,,,4eLSCSELtKxZwXnFbNLXT5
Imagine Dragons,Walking The Wire,Evolve,,,,,6jmngk8Fwup05JZ6kgXEGX
Imagine Dragons,Shots - Broiler Remix,Smoke + Mirrors (Deluxe),,,,,0z8yrlXSjnI29Rv30RssNI
Imagine Dragons,Release,Smoke + Mirrors (Deluxe),,,,,2AObzKd3JYIWQqQ067Z0YI
Imagine Dragons,Monster,Smoke + Mirrors (Deluxe),,,,,4eavkrdMt3ypQcnVmzGP5L
Imagine Dragons,Rise Up,Evolve,,,,,7vAXN57IQ0sj049wZGIboE
Imagine Dragons,I Bet My Life,Smoke + Mirrors,,,,,15DrrIod12Tc2IoMaHiwlQ
Imagine Dragons,I’m So Sorry,Smoke + Mirrors,,,,,4o74y4XY1ypNZkZtZkK8Wi
Imagine Dragons,Roots,Roots,,,,,4GITtbZtRCQXhWLMXrWXHt
Imagine Dragons,I Don’t Know Why,Evolve,,,,,15dnkAHcHC0vrIUlbiPiqU
Imagine Dragons,Gold,Smoke + Mirrors,,,,,1WQFOwtI6EfsvRz7wcDbQm
Imagine Dragons,Shots,Smoke + Mirrors (Deluxe),,,,,2h6HdN3oPr4JijIQV29hv1
YUNGBLUD,"god save me, but don't drown me out","god save me, but don't drown me out",,,,,0rUTQPibpskoXRrKjbGZjo
Bring Me The Horizon,Obey (with YUNGBLUD),Obey (with YUNGBLUD),,,,,7fQox8Ere1HDm0jhSnsFHu
YUNGBLUD,strawberry lipstick,strawberry lipstick,,,,,222MT5t80Pf0C1ItJ79sCF
YUNGBLUD,weird!,weird!,,,,,0mCR06PzcuMFPAFz4V4lOB
YUNGBLUD,Lemonade (with Denzel Curry),Lemonade (with Denzel Curry),,,,,4k9it7Buh3IXU7o3oLRjJL
YUNGBLUD,original me (feat. dan reynolds of imagine dragons),original me (feat. dan reynolds of imagine dragons),,,,,4KzOYxD4qIkUtZV9ZYakGu
Marshmello,Tongue Tied (with YUNGBLUD & blackbear),Tongue Tied (with YUNGBLUD & blackbear),,,,,7jzldCBnJjpJM3epzJ85KE
YUNGBLUD,parents,Parents,,,,,3zR5cAShCz1ugKIWXGTjI3
YUNGBLUD,Loner,Loner,,,,,5QMmZqzh93EY6gJG4PmzHA
mgk,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Hotel Diablo,,,,,2gTdDMpNxIRFSiu7HutMCg
YUNGBLUD,Medication,21st Century Liability,,,,,1iSwhRAKSkkLpyo8X8NqtV
YUNGBLUD,"I Love You, Will You Marry Me",21st Century Liability,,,,,0dqrAmrvQ6fCGNf5T8If5A
YUNGBLUD,Anarchist,21st Century Liability,,,,,3vVkxjrTP4SM1Ogq68LoXW
YUNGBLUD,Psychotic Kids,21st Century Liability,,,,,0h8KNwmDto5ndOqdUOVZGQ
YUNGBLUD,Polygraph Eyes,21st Century Liability,,,,,0SCsKxQvbfE7ufDL87IHR9
YUNGBLUD,Die For The Hype,21st Century Liability,,,,,0mN7aCKIsZcoPiUrh2OPsF
YUNGBLUD,Doctor Doctor,21st Century Liability,,,,,2ulNNjFK4Upw5NsR7HqSQA
YUNGBLUD,Kill Somebody,21st Century Liability,,,,,3P1w3tnyexMjfY0Eh8spEI
Harry Styles,Watermelon Sugar,Fine Line,,,,,6UelLqGlWMcVH1E5c4H7lY
Harry Styles,Adore You,Fine Line,,,,,3jjujdWJ72nww5eGnfs2E7
Harry Styles,Falling,Fine Line,,,,,1ZMiCix7XSAbfAJlEZWMCp
Harry Styles,Kiwi,Harry Styles,,,,,33SNO8AaciGbNaQFkxvPrW
Harry Styles,Lights Up,Fine Line,,,,,4jAIqgrPjKLTY9Gbez25Qb
Harry Styles,Golden,Fine Line,,,,,45S5WTQEGOB1VHr1Q4FuPl
Harry Styles,Two Ghosts,Harry Styles,,,,,4B1rpPmQXwj78wk6aIGwwU
Harry Styles,Cherry,Fine Line,,,,,2IOFZdYYkFxEHVz1w34PoL
Pearl Jam,Alive,Ten,,,,,1L94M3KIu7QluZe63g64rv
Pearl Jam,Black,Ten,,,,,5Xak5fmy089t0FYmh3VJiY
Pearl Jam,Even Flow,Ten,,,,,6QewNVIDKdSl8Y3ycuHIei
Pearl Jam,Dance Of The Clairvoyants,Dance Of The Clairvoyants,,,,,3Y1q37A7ecFEdR5IAMWodA
Pearl Jam,Jeremy,Ten,,,,,62nQ8UZVqR2RMvkJHkcO2o
Pearl Jam,Yellow Ledbetter,Jeremy,,,,,3bE5slaVEfaDreqARl6k4M
Pearl Jam,Sirens,Lightning Bolt,,,,,3HPfwpfUtcdyJPvlLtXtNg
Pearl Jam,Quick Escape,Quick Escape,,,,,3FoykAESe8MNT69DpM6B4c
Pearl Jam,Superblood Wolfmoon,Superblood Wolfmoon,,,,,2PETsovNFRjQOSMWj8gNii
Pearl Jam,Come Back,Pearl Jam,,,,,0sHdUji2tWxiRDfShSWHUN
Pearl Jam,Go - Remastered,Vs.,,,,,7M1L2Cv5025QeywNsdfPDK
Pearl Jam,Save You,Riot Act,,,,,4ilxCIvCVtBppVykx9UDaX
Pearl Jam,Who You Are,No Code,,,,,2Avh5LgyS4UCeYbzmgiSg9
Stone Temple Pilots,Interstate Love Song,Thank You,,,,,600s08VdbjiyAjDGDjYSFI
Stone Temple Pilots,Plush,Core,,,,,3jJZVeExYzVYiV6Y9Fl3DX
Stone Temple Pilots,Sex Type Thing,Core,,,,,2nWjhmRImt6LScZIPQMBnM
Stone Temple Pilots,Vasoline,Thank You,,,,,5SrnKN9CdGLLHIOUQMHNod
Stone Temple Pilots,Unglued,Purple,,,,,1L6BrtDhR1JQeKFYALA6Yc
System Of A Down,Toxicity,Toxicity,,,,,7MeXwzhSDGfqNfuFANgzVC
System Of A Down,Chop Suey!,Toxicity,,,,,5V3mdRI2yQxbSsJGDPc5lD
System Of A Down,B.Y.O.B.,Mezmerize,,,,,0EYOdF5FCkgOJJla8DI2Md
System Of A Down,Aerials,Toxicity,,,,,1twBt7aZiy7HWPG025QGuP
System Of A Down,Lonely Day,Hypnotize,,,,,1VNWaY3uNfoeWqb5U8x2QX
System Of A Down,Hypnotize,Hypnotize,,,,,6oO7WMjD6kEvCITLbVj0mu
System Of A Down,Attack,Hypnotize,,,,,0dxPHMZTI8TWMYRucsAFNd
System Of A Down,Sugar,System Of A Down,,,,,31RTFPrB7wmYBhlkM2ILXG
System Of A Down,Spiders,System Of A Down,,,,,4vAHXnJ5YWLq5hbIVzZS1h
System Of A Down,Psycho,Toxicity,,,,,1LfSbPH1QCPxce41b9mmYF
John Mayer,Slow Dancing in a Burning Room,Continuum,,,,,2jdAk8ATWIL3dwT47XpRfu
John Mayer,New Light,New Light,,,,,3bH4HzoZZFq8UpZmI2AMgV
John Mayer,I Guess I Just Feel Like,I Guess I Just Feel Like,,,,,1HNywa8Bk0TmzRwQrzhtPo
John Mayer,Gravity,Continuum,,,,,3SktMqZmo3M9zbB7oKMIF7
John Mayer,Your Body Is a Wonderland,Room For Squares,,,,,7vFv0yFGMJW3qVXbAd9BK9
John Mayer,No Such Thing,Room For Squares,,,,,6Vecwo7AHst9V2CE3kmwr0
John Mayer,Stop This Train,Continuum,,,,,3E6iea9uEmB7gRru4lyP6h
John Mayer,Neon,Room For Squares,,,,,7Kohy4v3KLWfUXlv9N3feB
John Mayer,Neon,Room For Squares,,,,,7Kohy4v3KLWfUXlv9N3feB
Shawn Mendes,There's Nothing Holdin' Me Back,Illuminate (Deluxe),,,,,79cuOz3SPQTuFrp8WgftAu
Shawn Mendes,Stitches,Handwritten (Deluxe),,,,,1WP1r7fuvRqZRnUaTi2I1Q
Shawn Mendes,Treat You Better,Illuminate (Deluxe),,,,,76t5B0ttSAje5KHmQbv88t
Shawn Mendes,Lost In Japan,Shawn Mendes,,,,,6WBTeFDEfAJbaSUUc1V1xQ
Shawn Mendes,In My Blood,Shawn Mendes,,,,,21YnmkSDhUkmkkni22Svc4
Shawn Mendes,Mercy,Illuminate (Deluxe),,,,,3OalxlWH0v14kyBcNBMINt
Ed Sheeran,Thinking out Loud,x (Deluxe Edition),,,,,34gCuhDGsG4bRPIf9bb02f
Ed Sheeran,Shape of You,÷ (Deluxe),,,,,7qiZfU4dY1lWllzX7mPBI3
Ed Sheeran,Perfect,÷ (Deluxe),,,,,0tgVpDi06FyKpA1z0VMD4v
Ed Sheeran,Dive,÷ (Deluxe),,,,,51ChrwmUPDJvedPQnIU8Ls
Ed Sheeran,Photograph,x (Deluxe Edition),,,,,1HNkqx9Ahdgi1Ixy2xkKkL
5 Seconds of Summer,She Looks So Perfect,5 Seconds Of Summer,,,,,1gugDOSMREb34Xo0c1PlxM
5 Seconds of Summer,Old Me,CALM,,,,,4POHzEwNTCYaIvqCUp3NnO
5 Seconds of Summer,Teeth,CALM,,,,,3D9hIbF6vgK2VDKVPxJsWN
5 Seconds of Summer,Youngblood,Youngblood (Deluxe),,,,,2iUXsYOEPhVqEBwsqP70rE
5 Seconds of Summer,Wildflower,CALM,,,,,353IDEfNzPJmGNRnOi5kJ1
5 Seconds of Summer,Red Desert,CALM,,,,,0yFWdhx0rDU4zNddqvfu33
5 Seconds of Summer,Easier,CALM,,,,,2txofPPP3lkiNLTUUHeJHS
5 Seconds of Summer,No Shame,CALM,,,,,4kLm0P01JM1xS94Z4JC3oE
5 Seconds of Summer,Best Years,CALM,,,,,4WCPjTAMJKfK8kww8CRxLQ
5 Seconds of Summer,Valentine,Youngblood (Deluxe),,,,,19hh7DkfRBrpRGYfKlw7jb
5 Seconds of Summer,Amnesia,5 Seconds Of Summer,,,,,1JCCdiru7fhstOIF4N7WJC
5 Seconds of Summer,Not In The Same Way,CALM,,,,,2I2yw1jXVtcbiRLYuuu52u
5 Seconds of Summer,Lover Of Mine,CALM,,,,,4CufDREo1dO9TL7txA5SGA
5 Seconds of Summer,Ghost Of You,Youngblood (Deluxe),,,,,1MhXdlCQPnO56T57MfmaRm
5 Seconds of Summer,She's Kinda Hot,Sounds Good Feels Good (Deluxe),,,,,5fsQSDifYpjfbCqvZKPVBj
5 Seconds of Summer,Thin White Lies,CALM,,,,,5kAaMEMUI7UyCFBql2LP2x
5 Seconds of Summer,Jet Black Heart,Sounds Good Feels Good (Deluxe),,,,,6U0D8PIh75fnX6T6TWJLxl
5 Seconds of Summer,Good Girls,5 Seconds Of Summer,,,,,5XwIdRXvHTtxH5BmBOSCCM
5 Seconds of Summer,Heartbreak Girl,5 Seconds Of Summer,,,,,556IN8IgPqZORjhmlyAXaP
5 Seconds of Summer,Lonely Heart,CALM,,,,,0neaGfF0KBgZEXbNeYgGr9
5 Seconds of Summer,Moving Along,Youngblood (Deluxe),,,,,4UQajPk0EPvbwWTl0fYi4C
5 Seconds of Summer,High,CALM,,,,,2aAZGfJGtdSzs9W2M8F3Tx
5 Seconds of Summer,If Walls Could Talk,Youngblood (Deluxe),,,,,0nCVLAhIUrLQ34Vw5vTXNP
5 Seconds of Summer,Babylon,Youngblood (Deluxe),,,,,6PUYqQtGWVAovZrLC9BIqt
5 Seconds of Summer,Beside You,5 Seconds Of Summer,,,,,04iBN2ttkQBfGLj6DYlhKF
5 Seconds of Summer,Talk Fast,Youngblood (Deluxe),,,,,1pMrGc8rMC5qx0zMak8tkd
5 Seconds of Summer,Castaway,Sounds Good Feels Good (Deluxe),,,,,0Lz17st4A5INY3ZESQhFNK
5 Seconds of Summer,Better Man,Youngblood (Deluxe),,,,,40rMvmTT9RX4KB0JzMNYZO
5 Seconds of Summer,Kiss Me Kiss Me,5 Seconds Of Summer (Deluxe),,,,,5McmaMlnbBjIQD1yn56KG5
5 Seconds of Summer,Permanent Vacation,Sounds Good Feels Good (Deluxe),,,,,691NxyycrqSWH5vZ19Jzm2
